seniorcitizen,tenure,monthlycharges,gender_male,dependents_yes,phoneservice_yes,multiplelines_yes,internetservice_fiber optic,contract_one year,contract_two year,churn
0,1,60,1,1,1,0,0,0,1,0
0,30,55,0,0,1,0,0,1,0,0
1,46,100,0,0,1,1,1,0,0,0
0,43,66,1,0,1,0,0,1,0,0
0,1,20,1,0,1,1,1,0,1,0
0,10,25,1,1,1,1,1,0,0,0
0,72,65,1,1,0,0,0,0,0,0
0,66,57,1,0,0,1,1,0,0,0
0,67,21,0,0,1,1,0,0,1,0
0,35,50,0,1,1,1,1,0,0,0
0,72,108,1,1,1,1,1,0,1,0
0,37,40,0,0,0,0,1,1,0,0
0,72,106,1,1,1,1,1,0,1,0
0,12,85,1,0,1,0,1,1,0,0
0,50,76,1,1,1,0,0,0,0,0
1,63,36,1,0,0,0,0,0,0,0
0,19,87,0,0,1,1,0,0,1,0
0,18,70,1,0,1,0,0,0,0,0
1,28,51,1,1,1,1,1,1,0,0
0,28,93,1,1,1,1,0,0,1,0
0,35,90,1,1,1,1,1,0,0,0
0,1,20,0,0,1,0,1,0,1,0
0,14,31,1,0,0,1,0,0,1,0
0,35,107,0,1,1,0,0,0,0,0
0,1,20,0,0,1,1,0,1,0,0
0,58,102,0,0,1,1,1,0,0,1
0,28,105,0,0,1,1,0,0,1,1
0,5,80,1,1,1,1,0,1,0,1
0,71,74,1,0,1,1,1,0,0,0
0,21,97,0,0,1,1,0,0,0,1
0,52,58,0,0,1,0,0,0,0,0
0,15,99,0,0,1,0,0,0,0,1
0,21,82,1,0,1,1,0,1,0,1
0,60,21,0,0,1,1,0,0,1,0
0,66,97,1,0,1,1,0,0,0,0
1,15,75,0,0,1,0,1,0,0,1
0,33,70,0,0,1,0,0,0,0,0
0,10,24,1,1,1,0,0,0,0,0
0,72,75,1,1,1,1,0,0,0,0
1,40,56,1,0,1,0,0,0,1,0
0,30,49,0,0,1,0,0,1,0,0
0,3,77,1,0,1,1,1,0,0,0
1,69,57,1,0,0,1,1,0,0,0
0,57,95,0,0,1,0,0,1,0,1
0,72,116,0,0,1,1,1,1,0,0
0,22,59,1,0,1,1,1,0,0,1
0,49,36,0,1,0,1,1,0,0,0
0,29,20,0,0,1,0,1,0,0,0
1,34,80,0,1,1,0,0,1,0,1
0,2,51,0,0,1,1,0,1,0,0
0,35,21,1,0,1,0,0,0,0,0
0,6,91,0,0,1,1,1,0,1,1
0,63,19,1,1,1,1,1,0,0,0
0,2,81,0,0,1,1,0,0,1,1
0,64,99,1,0,1,0,0,0,0,0
0,20,20,1,1,1,0,1,0,0,0
0,38,79,1,1,1,1,1,0,1,0
0,13,74,1,0,1,1,1,0,1,0
0,19,101,1,1,1,1,0,0,0,1
0,69,109,0,1,1,0,0,1,0,0
0,14,86,0,0,1,1,0,0,1,1
1,8,61,1,0,1,0,0,1,0,0
0,4,79,0,0,1,1,0,0,0,1
0,13,75,0,0,1,0,0,0,0,1
0,1,44,1,0,1,0,1,0,0,1
0,58,25,0,0,1,0,0,0,1,0
0,11,51,0,1,0,0,0,0,1,0
1,1,74,0,0,1,0,0,0,0,1
0,47,25,1,1,1,0,0,0,1,0
0,58,84,0,0,1,1,1,0,0,0
0,69,21,1,1,1,0,0,1,0,0
1,1,86,0,0,1,1,1,1,0,1
0,35,109,1,0,1,0,0,0,1,0
0,70,20,1,1,1,0,1,1,0,0
0,30,100,0,0,1,1,1,0,0,0
0,72,66,0,1,0,0,0,0,1,0
0,2,45,1,0,1,1,1,0,0,1
0,61,19,0,1,1,1,1,0,0,1
0,16,101,0,1,1,0,0,1,0,0
0,66,92,0,0,1,0,0,0,1,0
1,57,70,0,0,1,0,0,1,0,0
0,67,36,0,1,0,0,0,1,0,0
0,56,97,1,1,1,1,1,1,0,0
0,72,23,0,1,1,1,1,0,0,0
0,69,105,1,1,1,1,0,1,0,0
0,39,82,0,1,1,0,0,0,0,0
0,21,71,0,0,1,0,0,0,1,0
0,53,63,1,1,1,1,1,1,0,0
0,9,69,1,0,1,0,0,0,1,0
0,15,49,1,0,1,0,0,0,1,0
0,44,65,1,0,1,1,0,0,0,0
0,2,71,1,0,1,0,0,0,0,1
0,6,49,0,0,1,0,0,0,1,1
0,60,81,0,0,1,0,0,1,0,0
0,8,20,1,1,1,1,1,0,0,0
0,1,26,0,0,1,1,0,0,1,0
0,27,85,1,1,1,0,1,1,0,0
1,64,20,1,0,1,0,0,0,1,0
0,71,20,0,0,1,1,1,0,0,0
0,49,60,1,1,1,0,0,1,0,0
0,71,79,1,0,1,0,0,1,0,0
0,17,94,1,0,1,1,0,0,1,1
0,45,19,1,0,1,1,0,0,0,0
0,24,20,0,0,1,0,1,0,0,0
0,17,94,0,0,1,1,1,0,0,1
0,67,111,0,0,1,0,0,0,0,0
1,45,70,0,0,1,1,1,0,0,0
0,70,86,0,0,1,1,1,0,1,0
0,54,100,0,0,1,0,0,0,0,0
0,18,56,1,0,1,1,0,1,0,0
0,72,26,1,1,1,0,1,0,0,0
0,20,24,0,0,0,0,0,0,0,1
0,53,91,0,0,1,1,1,0,0,0
0,1,20,0,0,1,0,0,0,0,1
0,10,99,1,0,1,1,0,0,1,0
0,39,20,0,0,1,0,0,0,0,0
0,10,74,0,1,1,1,1,0,0,0
0,65,74,1,0,1,0,0,0,0,0
0,2,49,0,0,1,1,1,1,0,1
0,52,20,1,0,1,1,1,0,0,0
0,26,79,1,1,1,0,0,1,0,0
1,19,80,1,0,1,1,1,0,0,1
0,46,103,0,0,1,0,1,0,0,0
0,71,81,0,0,1,1,1,1,0,0
0,5,70,0,1,1,1,1,1,0,0
0,56,20,0,1,1,0,1,0,0,0
1,29,98,1,0,1,0,0,0,0,1
0,1,44,1,1,1,0,0,0,0,1
0,36,64,1,1,1,1,0,0,1,0
0,10,51,0,0,1,1,1,0,0,0
0,9,76,0,1,1,1,0,1,0,0
0,29,86,1,0,1,1,1,0,1,0
0,10,95,1,0,1,0,0,0,0,0
0,37,63,1,1,1,0,1,0,0,0
1,66,105,0,0,1,0,0,0,1,0
1,72,85,1,0,1,0,0,1,0,0
0,69,91,1,0,1,1,1,0,0,0
0,1,45,0,0,1,1,1,0,0,1
0,14,71,0,0,1,0,1,0,0,1
0,38,20,0,0,1,0,0,1,0,0
0,69,82,1,0,1,0,0,0,1,0
