seniorcitizen,tenure,monthlycharges,gender_male,dependents_yes,phoneservice_yes,multiplelines_yes,internetservice_fiber optic,contract_one year,contract_two year,churn
0,-1.276681743030352,-0.14988113024128333,1,1,1,0,0,0,1,0
0,-0.09608857518970366,-0.31512520831638635,0,0,1,0,0,1,0,0
1,0.5552731725844472,1.172071494359541,0,0,1,1,1,0,0,0
0,0.43314284487679394,0.0484117634488403,1,0,1,0,0,1,0,0
0,-1.276681743030352,-1.4718337548421077,1,0,1,1,1,0,1,0
0,-0.9102907599073923,-1.3065896767670044,1,1,1,1,1,0,0,0
0,1.6137360127174423,0.015362947833819699,1,1,0,0,0,0,0,0
0,1.3694753573021359,-0.24902757708634515,1,0,0,1,1,0,0,0
0,1.4101854665380202,-1.438784939227087,0,0,1,1,0,0,1,0
0,0.10746197098971849,-0.4803692863914894,0,1,1,1,1,0,0,0
0,1.6137360127174423,1.4364620192797057,1,1,1,1,1,0,1,0
0,0.18888218946148735,-0.8108574425416955,0,0,0,0,1,1,0,0
0,1.6137360127174423,1.3703643880496645,1,1,1,1,1,0,1,0
0,-0.8288705414356234,0.6763392601342318,1,0,1,0,1,1,0,0
0,0.718113609527985,0.37889991959904634,1,1,1,0,0,0,0,0
1,1.2473450295944826,-0.9430527050017778,1,0,0,0,0,0,0,0
0,-0.5438997767844324,0.742436891364273,0,0,1,1,0,0,1,0
0,-0.5846098860203168,0.18060702590892272,1,0,1,0,0,0,0,0
1,-0.1775087936614725,-0.4473204707764688,1,1,1,1,1,1,0,0
0,-0.1775087936614725,0.9407297850543966,1,1,1,1,0,0,1,0
0,0.10746197098971849,0.8415833382093348,1,1,1,1,1,0,0,0
0,-1.276681743030352,-1.4718337548421077,0,0,1,0,1,0,1,0
0,-0.7474503229638545,-1.1082967830768808,1,0,0,1,0,0,1,0
0,0.10746197098971849,1.4034132036646851,0,1,1,0,0,0,0,0
0,-1.276681743030352,-1.4718337548421077,0,0,1,1,0,1,0,0
0,1.0437944834150603,1.2381691255895821,0,0,1,1,1,0,0,1
0,-0.1775087936614725,1.337315572434644,0,0,1,1,0,0,1,1
0,-1.1138413060868144,0.5110951820591287,1,1,1,1,0,1,0,1
0,1.573025903481558,0.31280228836900514,1,0,1,1,1,0,0,0
0,-0.4624795583126635,1.0729250475144791,0,0,1,1,0,0,0,1
0,0.7995338279997538,-0.21597876147132455,0,0,1,0,0,0,0,0
0,-0.7067402137279701,1.1390226787445203,0,0,1,0,0,0,0,1
0,-0.4624795583126635,0.57719281328917,1,0,1,1,0,1,0,1
0,1.1252147018868293,-1.438784939227087,0,0,1,1,0,0,1,0
0,1.3694753573021359,1.0729250475144791,1,0,1,1,0,0,0,0
1,-0.7067402137279701,0.34585110398402574,0,0,1,0,1,0,0,1
0,0.02604175251794963,0.18060702590892272,0,0,1,0,0,0,0,0
