gender,seniorcitizen,dependents,tenure,phoneservice,multiplelines,internetservice,contract,monthlycharges,churn
female,0,no,1,no,no,dsl,month-to-month,25,yes
male,0,no,41,yes,no,dsl,one year,25,no
female,0,yes,52,yes,no,dsl,month-to-month,19,no
female,0,no,1,yes,no,dsl,one year,76,yes
male,0,no,67,yes,no,fiber optic,month-to-month,51,no
female,1,no,68,yes,yes,fiber optic,month-to-month,90,yes
female,0,yes,23,yes,yes,fiber optic,month-to-month,77,no
male,0,yes,72,yes,no,dsl,month-to-month,72,no
male,0,no,70,yes,yes,fiber optic,month-to-month,104,yes
male,0,no,1,yes,no,dsl,one year,19,yes
male,0,no,1,yes,no,dsl,month-to-month,20,no
male,0,yes,34,yes,no,dsl,two year,84,no
male,1,yes,28,yes,yes,fiber optic,one year,51,no
female,1,no,18,yes,yes,fiber optic,month-to-month,85,yes
female,0,no,15,yes,no,fiber optic,month-to-month,20,no
female,1,no,11,yes,yes,fiber optic,two year,95,yes
male,0,no,11,yes,no,dsl,one year,54,yes
male,0,yes,1,yes,yes,fiber optic,two year,70,yes
female,0,yes,37,yes,no,dsl,month-to-month,89,no
male,0,yes,22,yes,no,fiber optic,month-to-month,89,yes
female,0,no,1,yes,no,dsl,month-to-month,70,no
female,0,yes,1,yes,no,dsl,one year,19,no
male,0,yes,46,yes,no,dsl,month-to-month,80,no
female,0,no,51,yes,yes,dsl,two year,107,no
female,0,no,41,yes,no,dsl,month-to-month,104,no
female,0,no,5,yes,no,dsl,month-to-month,68,yes
female,0,no,45,yes,yes,fiber optic,month-to-month,89,yes
male,0,yes,29,yes,no,dsl,month-to-month,60,no
female,1,no,15,yes,yes,dsl,two year,92,no
male,0,no,72,no,no,dsl,month-to-month,64,no
male,0,no,50,yes,yes,fiber optic,two year,104,no
male,0,yes,27,yes,no,fiber optic,month-to-month,21,no
male,0,no,72,yes,no,dsl,one year,85,no
female,0,yes,51,yes,no,dsl,month-to-month,70,no
female,0,no,60,yes,no,dsl,month-to-month,94,no
male,0,no,17,yes,yes,fiber optic,two year,19,no
female,0,no,72,yes,no,fiber optic,month-to-month,21,no
female,0,no,33,yes,no,fiber optic,month-to-month,104,yes
female,1,yes,66,yes,yes,fiber optic,month-to-month,105,no
female,0,yes,69,yes,yes,fiber optic,month-to-month,104,yes
male,0,no,5,yes,no,dsl,one year,70,yes
female,0,no,57,yes,yes,dsl,two year,101,no
female,1,no,8,yes,no,dsl,one year,76,yes
female,0,no,14,yes,yes,dsl,two year,51,no
male,0,no,25,yes,yes,dsl,month-to-month,95,yes
female,0,yes,52,yes,yes,fiber optic,month-to-month,20,no
female,1,no,7,yes,no,dsl,month-to-month,76,yes
male,0,no,13,yes,no,fiber optic,month-to-month,80,yes
female,1,no,15,yes,yes,dsl,two year,90,yes
male,0,no,22,yes,yes,dsl,two year,55,yes
female,0,no,19,yes,yes,fiber optic,month-to-month,20,no
male,0,yes,23,no,no,fiber optic,month-to-month,30,no
female,0,no,72,yes,yes,dsl,month-to-month,114,no
male,1,no,72,yes,yes,fiber optic,month-to-month,98,no
female,0,yes,59,yes,no,dsl,one year,97,no
female,0,yes,70,yes,yes,fiber optic,month-to-month,75,no
male,0,yes,70,yes,yes,fiber optic,one year,101,no
male,0,yes,9,yes,yes,fiber optic,one year,103,no
female,0,no,3,yes,yes,dsl,two year,25,no
male,1,no,17,yes,yes,fiber optic,two year,102,no
female,0,yes,28,yes,yes,fiber optic,month-to-month,70,no
female,0,no,10,yes,yes,fiber optic,month-to-month,54,no
male,0,yes,11,yes,no,dsl,two year,21,no
male,1,no,72,yes,no,dsl,one year,103,no
male,0,no,8,yes,yes,fiber optic,month-to-month,70,yes
male,1,no,69,yes,no,dsl,month-to-month,20,no
female,0,yes,39,yes,yes,fiber optic,one year,20,no
male,0,yes,67,no,no,dsl,two year,51,no
male,0,no,39,yes,no,dsl,two year,20,no
male,0,yes,54,yes,no,fiber optic,month-to-month,66,no
female,0,no,1,yes,no,dsl,month-to-month,74,yes
female,0,yes,72,no,no,dsl,one year,60,no
male,0,no,10,yes,yes,fiber optic,two year,99,yes
male,0,yes,13,yes,yes,dsl,two year,97,yes
female,0,no,35,yes,no,dsl,month-to-month,99,no
male,0,yes,12,no,yes,fiber optic,one year,36,no
male,0,no,31,yes,no,dsl,one year,91,no
female,0,yes,53,yes,no,dsl,month-to-month,108,no
male,0,no,1,yes,no,dsl,month-to-month,20,no
male,0,no,30,yes,yes,dsl,one year,20,no
female,0,no,46,yes,no,fiber optic,month-to-month,75,no
female,0,no,19,yes,no,dsl,month-to-month,90,yes
female,0,no,23,yes,no,fiber optic,month-to-month,54,no
female,1,no,15,yes,no,fiber optic,month-to-month,55,yes
male,0,no,48,yes,no,dsl,two year,20,no
male,0,yes,25,yes,yes,fiber optic,month-to-month,96,yes
male,0,no,52,yes,no,dsl,one year,105,yes
male,0,no,12,yes,no,dsl,two year,82,yes
female,0,no,48,yes,no,dsl,two year,25,no
female,0,no,38,yes,no,dsl,month-to-month,20,no
female,0,no,18,no,no,fiber optic,month-to-month,35,no
female,0,no,45,yes,no,fiber optic,month-to-month,50,no
male,0,no,12,yes,yes,dsl,two year,90,no
female,1,no,66,yes,yes,fiber optic,month-to-month,102,no
female,0,no,72,yes,yes,fiber optic,two year,20,no
female,0,no,70,no,yes,fiber optic,month-to-month,45,no
female,0,no,27,yes,yes,dsl,one year,90,no
male,0,no,1,yes,no,dsl,month-to-month,20,no
male,1,no,13,yes,no,dsl,two year,95,yes
female,0,yes,65,yes,no,fiber optic,month-to-month,90,no
female,0,yes,14,yes,no,dsl,month-to-month,70,no
female,0,yes,17,yes,no,dsl,month-to-month,85,yes
female,0,no,31,yes,yes,fiber optic,one year,21,no
male,0,yes,24,yes,no,dsl,one year,24,no
female,0,no,3,yes,yes,fiber optic,two year,20,no
male,0,no,17,yes,no,dsl,month-to-month,77,yes
male,0,no,66,yes,yes,fiber optic,one year,69,no
male,0,no,45,yes,no,dsl,one year,53,no
male,0,no,35,yes,yes,fiber optic,one year,92,no
male,0,yes,40,no,no,dsl,two year,40,no
female,0,no,10,yes,yes,fiber optic,month-to-month,85,yes
female,0,no,52,yes,no,dsl,one year,64,no
female,0,no,13,yes,no,fiber optic,month-to-month,19,no
female,1,no,43,yes,yes,fiber optic,month-to-month,90,no
female,0,no,41,yes,no,dsl,two year,20,no
female,1,no,52,no,no,fiber optic,month-to-month,50,no
female,0,no,71,yes,no,dsl,two year,93,no
male,0,no,61,yes,yes,fiber optic,month-to-month,106,no
female,0,no,26,no,no,dsl,two year,44,no
male,0,yes,72,yes,yes,fiber optic,month-to-month,68,no
female,0,no,42,yes,yes,fiber optic,one year,78,no
female,0,yes,57,yes,no,dsl,month-to-month,65,no
male,0,yes,9,yes,yes,fiber optic,month-to-month,20,no
female,0,no,9,yes,no,dsl,month-to-month,71,yes
male,0,no,33,yes,no,dsl,month-to-month,45,no
male,0,no,1,yes,no,fiber optic,two year,19,no
female,0,no,7,yes,yes,fiber optic,month-to-month,79,yes
male,0,no,1,yes,yes,dsl,two year,72,yes
male,0,yes,65,yes,no,dsl,month-to-month,20,no
male,0,no,10,yes,no,dsl,one year,86,yes
male,0,no,70,yes,yes,fiber optic,month-to-month,95,no
female,0,no,29,yes,no,dsl,month-to-month,99,yes
male,0,yes,21,yes,no,dsl,two year,104,yes
male,0,no,1,yes,no,dsl,month-to-month,91,yes
male,0,no,5,yes,no,dsl,month-to-month,20,no
male,0,no,56,yes,yes,dsl,two year,90,no
male,0,yes,35,yes,no,fiber optic,month-to-month,85,yes
male,0,yes,10,yes,no,dsl,two year,20,no
female,0,no,31,no,no,dsl,two year,50,no
male,1,no,37,yes,no,fiber optic,month-to-month,86,yes
male,1,no,57,yes,yes,dsl,two year,95,yes
female,0,yes,34,yes,yes,dsl,month-to-month,26,no
female,0,no,3,yes,yes,fiber optic,two year,99,yes
female,0,no,4,yes,yes,fiber optic,one year,83,no
female,0,no,54,yes,yes,dsl,two year,20,no
male,0,yes,6,yes,yes,fiber optic,two year,20,no
male,0,no,22,yes,no,dsl,one year,60,no
male,0,no,23,yes,no,dsl,month-to-month,97,no
female,0,no,68,yes,no,dsl,one year,58,no
female,0,yes,48,yes,no,dsl,month-to-month,20,no
male,0,yes,34,yes,no,dsl,month-to-month,21,no
female,0,no,41,yes,yes,fiber optic,month-to-month,80,no
male,0,no,9,yes,yes,fiber optic,one year,76,no
female,1,no,18,yes,no,dsl,two year,104,no
male,0,no,35,yes,no,dsl,month-to-month,96,no
male,0,yes,55,yes,no,fiber optic,month-to-month,79,no
male,0,no,54,yes,yes,fiber optic,month-to-month,108,no
female,1,no,2,yes,no,dsl,one year,79,yes
male,0,no,52,yes,no,dsl,two year,106,no
male,0,no,72,yes,yes,dsl,two year,70,no
male,0,no,9,yes,no,dsl,month-to-month,70,no
female,0,yes,3,yes,yes,fiber optic,month-to-month,70,no
male,1,no,4,yes,no,fiber optic,month-to-month,75,no
male,0,yes,69,yes,yes,dsl,two year,76,no
female,0,yes,67,no,no,dsl,one year,36,no
male,0,no,4,yes,no,dsl,two year,80,yes
male,0,no,13,no,no,fiber optic,month-to-month,46,yes
female,0,yes,45,yes,yes,dsl,two year,81,no
male,0,no,68,yes,no,dsl,month-to-month,101,no
female,0,yes,69,yes,no,dsl,month-to-month,74,no
female,0,no,70,no,no,fiber optic,one year,58,no
female,0,no,1,yes,yes,fiber optic,month-to-month,20,yes
female,0,yes,45,yes,no,dsl,two year,26,no
female,0,yes,37,yes,no,fiber optic,one year,20,no
female,0,yes,10,no,no,dsl,one year,40,no
female,0,yes,1,yes,yes,dsl,month-to-month,89,no
male,0,yes,29,yes,yes,fiber optic,month-to-month,69,no
male,1,yes,72,yes,no,fiber optic,month-to-month,104,no
female,0,no,2,yes,yes,fiber optic,month-to-month,76,yes
male,0,no,24,yes,no,dsl,one year,54,no
female,0,no,4,yes,no,dsl,month-to-month,79,yes
male,0,no,72,yes,no,dsl,month-to-month,19,no
female,0,no,11,yes,yes,fiber optic,month-to-month,79,no
female,0,yes,44,yes,no,dsl,one year,20,no
male,0,yes,62,yes,no,fiber optic,month-to-month,20,no
male,0,yes,70,yes,no,dsl,month-to-month,25,no
female,1,no,1,no,no,dsl,month-to-month,25,yes
female,0,no,4,yes,no,dsl,month-to-month,106,yes
female,1,no,2,yes,no,dsl,one year,86,yes
female,0,no,41,yes,yes,dsl,month-to-month,56,no
female,1,no,1,yes,yes,dsl,one year,19,yes
male,1,no,72,yes,no,fiber optic,month-to-month,84,no
female,0,no,63,yes,no,dsl,two year,109,no
male,0,no,68,yes,yes,fiber optic,two year,80,no
female,1,no,59,yes,no,dsl,two year,100,no
male,1,no,52,no,no,fiber optic,month-to-month,49,no
male,1,yes,26,yes,yes,dsl,two year,106,yes
male,0,no,66,no,yes,fiber optic,month-to-month,57,no
female,1,no,56,yes,yes,fiber optic,two year,96,no
female,0,no,72,yes,no,dsl,month-to-month,79,no
male,1,no,2,yes,no,fiber optic,one year,70,no
male,0,no,68,yes,no,fiber optic,month-to-month,117,no
male,0,yes,61,yes,yes,fiber optic,two year,85,no
male,0,no,1,yes,no,fiber optic,month-to-month,20,no
male,0,no,2,yes,no,fiber optic,month-to-month,20,no
female,0,no,2,yes,no,fiber optic,one year,20,yes
male,1,yes,68,yes,no,dsl,two year,85,no
male,0,no,9,yes,no,fiber optic,month-to-month,68,no
male,0,no,13,yes,no,fiber optic,month-to-month,83,yes
female,0,no,22,yes,no,fiber optic,one year,20,no
male,0,yes,66,yes,no,dsl,month-to-month,25,no
male,0,yes,8,yes,no,dsl,month-to-month,20,no
male,0,yes,2,yes,no,dsl,two year,70,no
male,0,no,3,yes,no,dsl,one year,56,no
male,0,no,5,yes,yes,fiber optic,month-to-month,92,yes
male,0,no,13,yes,no,dsl,month-to-month,20,no
male,0,yes,53,yes,no,dsl,two year,65,no
male,0,no,3,yes,no,dsl,two year,20,no
male,0,no,46,yes,yes,dsl,two year,95,no
female,0,no,39,no,no,fiber optic,month-to-month,40,no
female,0,yes,30,yes,no,fiber optic,month-to-month,108,no
female,0,no,23,yes,yes,dsl,two year,99,no
male,0,yes,40,yes,no,dsl,one year,20,no
female,0,no,45,yes,no,dsl,month-to-month,63,no
male,0,no,53,yes,no,dsl,one year,20,no
female,1,no,72,yes,no,dsl,one year,112,no
male,0,yes,28,yes,no,dsl,one year,20,no
female,0,no,49,yes,no,dsl,month-to-month,67,no
male,0,no,1,yes,yes,fiber optic,month-to-month,75,yes
female,0,no,20,yes,yes,dsl,two year,81,no
female,0,yes,53,yes,yes,fiber optic,two year,61,no
male,0,no,67,yes,no,fiber optic,month-to-month,69,no
male,0,no,11,yes,no,fiber optic,month-to-month,74,yes
female,0,yes,52,yes,no,dsl,two year,86,no
female,0,no,1,yes,yes,dsl,month-to-month,91,yes
female,0,no,48,yes,yes,dsl,month-to-month,56,no
female,0,no,7,yes,no,dsl,two year,75,yes
male,0,yes,7,yes,yes,fiber optic,month-to-month,71,no
female,0,yes,12,yes,no,fiber optic,month-to-month,84,no
male,0,no,40,yes,no,dsl,two year,25,no
male,0,no,55,yes,yes,dsl,two year,78,no
female,0,no,20,yes,yes,fiber optic,two year,20,no
male,0,no,1,no,no,dsl,one year,36,yes
female,0,yes,72,yes,no,fiber optic,month-to-month,84,no
male,0,no,63,yes,no,dsl,month-to-month,110,no
female,0,no,70,no,no,fiber optic,month-to-month,65,no
female,0,no,8,yes,yes,dsl,one year,64,no
female,0,no,1,yes,no,fiber optic,month-to-month,46,yes
male,0,no,16,yes,no,dsl,month-to-month,20,no
female,0,yes,11,no,yes,fiber optic,one year,25,no
male,0,no,11,yes,no,fiber optic,one year,75,yes
female,0,yes,41,yes,no,fiber optic,month-to-month,88,no
male,0,yes,14,yes,no,dsl,month-to-month,76,no
female,0,no,61,yes,yes,dsl,one year,89,no
female,0,no,20,yes,no,dsl,month-to-month,89,no
female,0,no,47,yes,no,dsl,two year,106,yes
male,0,yes,2,yes,yes,fiber optic,two year,60,no
male,0,yes,41,yes,yes,fiber optic,one year,60,no
female,0,no,72,yes,no,dsl,month-to-month,25,no
female,0,yes,72,yes,no,dsl,month-to-month,80,no
female,0,no,46,yes,no,dsl,month-to-month,96,no
male,0,no,1,yes,yes,fiber optic,month-to-month,20,yes
male,0,yes,29,no,yes,fiber optic,month-to-month,45,no
female,0,no,37,yes,no,dsl,two year,100,no
male,0,no,19,yes,yes,fiber optic,one year,62,no
female,0,yes,49,yes,yes,dsl,two year,78,no
male,0,yes,13,yes,yes,dsl,two year,44,no
female,0,no,22,yes,no,fiber optic,month-to-month,50,no
female,1,no,53,yes,no,dsl,two year,97,no
male,0,no,24,yes,yes,dsl,two year,50,yes
female,0,no,37,yes,no,fiber optic,month-to-month,20,no
male,0,yes,6,yes,no,dsl,two year,55,yes
female,0,no,7,yes,no,dsl,month-to-month,80,yes
female,0,yes,12,yes,yes,fiber optic,month-to-month,20,yes
female,0,no,71,yes,no,fiber optic,month-to-month,25,no
male,0,yes,26,yes,yes,fiber optic,month-to-month,82,no
female,0,no,6,yes,yes,fiber optic,month-to-month,46,no
male,0,no,32,yes,no,dsl,month-to-month,88,no
female,0,no,47,yes,no,dsl,month-to-month,59,no
female,0,yes,31,yes,no,dsl,month-to-month,21,no
female,0,yes,52,yes,no,dsl,month-to-month,84,no
female,0,no,60,no,no,dsl,month-to-month,61,no
female,0,no,48,yes,yes,dsl,month-to-month,66,no
male,0,no,45,yes,yes,dsl,month-to-month,19,no
female,0,no,39,yes,no,fiber optic,month-to-month,80,yes
female,1,no,1,yes,yes,fiber optic,one year,86,yes
male,0,no,1,yes,no,dsl,month-to-month,70,yes
female,0,no,6,yes,no,fiber optic,month-to-month,79,yes
male,0,no,9,yes,no,fiber optic,month-to-month,76,no
male,0,yes,72,yes,no,dsl,month-to-month,114,no
male,1,no,71,no,yes,fiber optic,month-to-month,52,no
male,0,yes,71,yes,no,dsl,one year,20,no
female,0,no,64,yes,no,fiber optic,one year,95,no
female,0,yes,28,yes,no,fiber optic,month-to-month,20,no
female,0,yes,70,yes,no,dsl,month-to-month,115,no
male,1,no,39,yes,no,dsl,month-to-month,96,yes
female,0,yes,16,yes,no,fiber optic,two year,20,no
male,1,no,66,yes,yes,fiber optic,month-to-month,111,yes
female,1,no,21,yes,yes,dsl,month-to-month,95,no
female,0,no,44,yes,no,fiber optic,month-to-month,85,yes
female,1,no,54,yes,no,dsl,one year,99,no
male,0,no,4,yes,yes,fiber optic,month-to-month,57,no
female,1,no,60,yes,no,fiber optic,month-to-month,110,no
male,0,no,26,yes,no,dsl,two year,92,no
female,0,yes,24,yes,yes,fiber optic,month-to-month,79,no
male,0,yes,53,yes,yes,dsl,two year,19,no
female,0,yes,46,yes,yes,fiber optic,month-to-month,19,no
female,0,yes,56,yes,no,dsl,two year,89,no
female,0,no,7,yes,yes,fiber optic,month-to-month,59,no
female,0,no,1,yes,yes,dsl,one year,86,yes
male,0,no,1,yes,no,dsl,month-to-month,46,no
male,0,no,60,yes,no,fiber optic,month-to-month,20,no
male,0,no,61,yes,yes,fiber optic,two year,21,no
female,0,no,42,no,no,fiber optic,month-to-month,34,yes
male,0,no,27,yes,no,fiber optic,month-to-month,20,no
female,0,yes,9,yes,yes,fiber optic,one year,85,yes
female,0,no,72,yes,no,dsl,two year,20,no
female,0,no,23,yes,no,dsl,one year,20,no
female,1,no,47,yes,no,fiber optic,month-to-month,95,yes
female,1,no,54,yes,yes,fiber optic,month-to-month,19,no
male,1,no,2,yes,yes,dsl,one year,96,no
male,0,no,38,no,no,dsl,two year,60,no
female,1,no,47,yes,no,dsl,month-to-month,100,no
male,0,no,22,yes,no,dsl,one year,56,no
male,0,no,2,yes,no,dsl,two year,91,no
female,0,yes,72,yes,yes,fiber optic,month-to-month,79,no
male,1,no,58,no,no,fiber optic,month-to-month,45,yes
male,0,yes,69,yes,no,fiber optic,month-to-month,79,no
male,0,no,18,yes,no,dsl,month-to-month,70,no
female,0,yes,55,yes,yes,fiber optic,month-to-month,20,no
female,0,no,46,yes,no,dsl,two year,101,no
male,0,no,5,yes,no,dsl,one year,19,no
female,0,no,4,no,yes,fiber optic,one year,34,yes
male,1,no,5,yes,yes,fiber optic,month-to-month,90,yes
female,0,yes,65,yes,yes,fiber optic,month-to-month,61,no
male,0,no,35,yes,yes,dsl,one year,21,no
female,1,no,45,yes,yes,fiber optic,two year,97,no
female,0,no,2,yes,yes,dsl,two year,20,no
female,0,yes,22,yes,no,fiber optic,month-to-month,80,no
male,0,yes,70,yes,yes,fiber optic,month-to-month,69,no
female,0,yes,30,yes,no,dsl,month-to-month,66,no
male,0,no,61,yes,yes,dsl,two year,108,no
female,0,no,29,yes,yes,dsl,month-to-month,20,no
male,0,no,61,yes,no,dsl,one year,106,yes
male,0,yes,25,yes,no,dsl,one year,90,yes
male,0,no,71,yes,yes,fiber optic,month-to-month,113,no
female,0,no,1,no,no,fiber optic,month-to-month,35,no
female,0,yes,62,yes,no,dsl,two year,70,no
male,0,no,64,yes,no,dsl,month-to-month,74,no
female,0,yes,64,yes,no,fiber optic,one year,91,no
male,1,no,29,yes,yes,dsl,two year,84,no
female,0,no,2,yes,no,dsl,one year,71,yes
male,0,no,1,yes,no,fiber optic,month-to-month,20,no
male,0,no,1,yes,yes,fiber optic,month-to-month,51,yes
female,0,yes,45,yes,no,dsl,month-to-month,25,no
male,0,no,66,yes,no,fiber optic,month-to-month,114,no
female,0,no,54,yes,yes,dsl,month-to-month,107,yes
female,0,yes,70,yes,yes,fiber optic,two year,80,no
male,1,no,37,yes,no,dsl,month-to-month,92,yes
male,1,no,3,yes,yes,fiber optic,one year,80,yes
male,0,yes,23,yes,no,dsl,month-to-month,55,no
female,1,no,60,yes,no,fiber optic,two year,100,no
female,0,no,35,no,no,dsl,one year,33,no
female,0,yes,27,yes,no,dsl,two year,74,no
female,0,yes,24,no,no,fiber optic,month-to-month,52,no
female,1,no,2,yes,no,fiber optic,month-to-month,94,yes
male,0,no,67,yes,no,dsl,month-to-month,91,yes
male,0,no,2,yes,no,dsl,month-to-month,48,yes
female,0,no,1,yes,yes,fiber optic,one year,20,yes
female,0,yes,1,yes,yes,fiber optic,two year,79,yes
female,0,no,14,yes,no,dsl,one year,54,no
male,1,no,38,yes,yes,fiber optic,month-to-month,95,no
